Reporting Area,MMWR Year,MMWR Week,"Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis, Current week","Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis, Current week, flag","Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis, Previous 52 weeks Med","Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis, Previous 52 weeks Med, flag","Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis, Previous 52 weeks Max","Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis, Previous 52 weeks Max, flag","Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis, Cum 2014","Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis, Cum 2014, flag","Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis, Cum 2013","Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis, Cum 2013, flag","Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum, Current week","Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum, Current week, flag","Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum, Previous 52 weeks Med","Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum, Previous 52 weeks Med, flag","Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum, Previous 52 weeks Max","Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum, Previous 52 weeks Max, flag","Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum, Cum 2014","Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum, Cum 2014, flag","Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum, Cum 2013","Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum, Cum 2013, flag","Ehrlichiosis/Anaplasmosis†, Undetermined, Current week","Ehrlichiosis/Anaplasmosis†, Undetermined, Current week, flag","Ehrlichiosis/Anaplasmosis†, Undetermined, Previous 52 weeks Med","Ehrlichiosis/Anaplasmosis†, Undetermined, Previous 52 weeks Med, flag","Ehrlichiosis/Anaplasmosis†, Undetermined, Previous 52 weeks Max","Ehrlichiosis/Anaplasmosis†, Undetermined, Previous 52 weeks Max, flag","Ehrlichiosis/Anaplasmosis†, Undetermined, Cum 2014","Ehrlichiosis/Anaplasmosis†, Undetermined, Cum 2014, flag","Ehrlichiosis/Anaplasmosis†, Undetermined, Cum 2013","Ehrlichiosis/Anaplasmosis†, Undetermined, Cum 2013, flag",Location 1,Location 2
W.N. CENTRAL,2014,3,,-,2,,44,,,-,1,,,-,0,,4,,,-,,-,,-,0,,2,,,-,,-,,
S. ATLANTIC,2014,3,,-,1,,22,,1,,1,,,-,0,,3,,,-,,-,,-,0,,2,,,-,,-,,
E.S. CENTRAL,2014,3,,-,1,,14,,,-,1,,,-,0,,1,,,-,,-,,-,0,,3,,,-,,-,,
W.S. CENTRAL,2014,3,,-,2,,37,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,
MOUNTAIN,2014,3,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,
PACIFIC,2014,3,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,
MASSACHUSETTS,2014,3,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"MASSACHUSETTS
(42.27687306500047, -72.08268985899963)",
ARIZONA,2014,3,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,"ARIZONA
(34.865973091000455, -111.76380949799972)",
WEST VIRGINIA,2014,3,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"WEST VIRGINIA
(38.665511497000466, -80.71263935099967)",
DELAWARE,2014,3,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,"DELAWARE
(39.00883351400046, -75.57773943699965)",
MONTANA,2014,3,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"MONTANA
(47.066526051000494, -109.42441687999968)",
NEW JERSEY,2014,3,,-,0,,1,,,-,,-,,-,0,,4,,,-,,-,,-,0,,1,,,-,,-,"NEW JERSEY
(40.1305700530005, -74.27368565099965)",
NEBRASKA,2014,3,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"NEBRASKA
(41.64104043900045, -99.36571864599966)",
GUAM,2014,3,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"GUAM
(13.355173397000442, 144.70297250000056)",
OREGON,2014,3,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"OREGON
(44.567446178000466, -120.15502977999972)",
NORTH DAKOTA,2014,3,,-,0,,0,,,-,,-,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,"NORTH DAKOTA
(47.47531738700047, -100.11842599699969)",
NEW YORK CITY,2014,3,,-,0,,5,,,-,,-,,-,0,,4,,,-,1,,,-,0,,1,,,-,,-,"NEW YORK CITY
(40.71426755700048, -74.00596858999967)",
IDAHO,2014,3,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"IDAHO
(43.682630058000484, -114.3637261449997)",
HAWAII,2014,3,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"HAWAII
(21.30485166200043, -157.85774691599974)",
C.N.M.I.,2014,3,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"C.N.M.I.
(39.52368635500045, -99.11415045099966)",
LOUISIANA,2014,3,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"LOUISIANA
(31.312662564000448, -92.44567554599968)",
KANSAS,2014,3,,-,1,,8,,,-,1,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"KANSAS
(38.34774033400049, -98.20077655499966)",
NEW YORK,2014,3,,-,1,,9,,,-,,-,,-,7,,28,,2,,1,,,-,0,,3,,,-,,-,"NEW YORK
(42.82700023900048, -75.54396639699968)",
INDIANA,2014,3,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,1,,12,,,-,,-,"INDIANA
(39.76691364600049, -86.14995579899966)",
NEVADA,2014,3,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"NEVADA
(39.49324126500045, -117.07183978499972)",
TEXAS,2014,3,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"TEXAS
(31.827243635000457, -99.4267664729997)",
MARYLAND,2014,3,,-,0,,5,,1,,,-,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"MARYLAND
(39.2905806980005, -76.60925970899967)",
GEORGIA,2014,3,,-,0,,3,,,-,1,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"GEORGIA
(32.83968004200045, -83.62757601199968)",
TENNESSEE,2014,3,,-,1,,9,,,-,,-,,-,0,,1,,,-,,-,,-,0,,3,,,-,,-,"TENNESSEE
(35.680943063000484, -85.77448642199965)",
SOUTH DAKOTA,2014,3,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"SOUTH DAKOTA
(44.35313342000046, -100.37352811899967)",
ARKANSAS,2014,3,,-,2,,17,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"ARKANSAS
(34.748651751000466, -92.27448794899965)",
ILLINOIS,2014,3,,-,0,,7,,,-,,-,,-,0,,2,,,-,1,,,-,0,,0,,,-,,-,"ILLINOIS
(40.48501278700047, -88.99770813999965)",
ALASKA,2014,3,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"ALASKA
(64.84507923900048, -147.72205669099972)",
MINNESOTA,2014,3,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"MINNESOTA
(46.35564867700049, -94.79419697699967)",
AMER. SAMOA,2014,3,,N,,-,,-,,N,,N,,N,,-,,-,,N,,N,,N,,-,,-,,N,,N,"AMER. SAMOA
(39.52368635500045, -99.11415045099966)",
NEW MEXICO,2014,3,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"NEW MEXICO
(34.52088247800049, -106.24057768899968)",
NEW HAMPSHIRE,2014,3,,-,0,,1,,,-,1,,,-,1,,6,,,-,,-,,-,0,,0,,,-,,-,"NEW HAMPSHIRE
(43.6559537330005, -71.50035726399966)",
MAINE,2014,3,,-,0,,1,,,-,,-,,-,1,,8,,,-,,-,,-,0,,1,,,-,,-,"MAINE
(45.254228663000504, -68.98502952999962)",
MISSOURI,2014,3,,-,1,,39,,,-,,-,,-,0,,2,,,-,,-,,-,0,,2,,,-,,-,"MISSOURI
(38.63579372300046, -92.56629737199967)",
UTAH,2014,3,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"UTAH
(39.36070374600047, -111.5871285339997)",
ALABAMA,2014,3,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"ALABAMA
(32.84057327200048, -86.63185803899967)",
KENTUCKY,2014,3,,-,0,,7,,,-,1,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"KENTUCKY
(37.645973909000475, -84.77496612599964)",
OKLAHOMA,2014,3,,-,0,,34,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"OKLAHOMA
(35.472034350000456, -97.52106845499969)",
WASHINGTON,2014,3,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"WASHINGTON
(47.522287905000496, -120.47002746299972)",
WISCONSIN,2014,3,,-,0,,6,,,-,,-,,-,10,,43,,,-,3,,,-,0,,5,,,-,,-,"WISCONSIN
(44.3931903350005, -89.81636715299965)",
MICHIGAN,2014,3,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,3,,,-,,-,"MICHIGAN
(44.66131575600048, -84.71438724399968)",
PUERTO RICO,2014,3,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"PUERTO RICO
(26.649497232000442, -98.34556876399967)",
CONNECTICUT,2014,3,,-,0,,0,,,-,,-,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,"CONNECTICUT
(41.56266394200048, -72.64983753699966)",
VERMONT,2014,3,,-,0,,1,,,-,,-,,-,0,,3,,,-,,-,,-,0,,0,,,-,,-,"VERMONT
(43.62538292400046, -72.51763944499965)",
MISSISSIPPI,2014,3,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,"MISSISSIPPI
(32.74551123200047, -89.53802764499966)",
NORTH CAROLINA,2014,3,,-,0,,12,,,-,,-,,-,0,,3,,,-,,-,,-,0,,0,,,-,,-,"NORTH CAROLINA
(35.46622388600048, -79.15924924699965)",
OHIO,2014,3,,-,0,,1,,,-,1,,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"OHIO
(40.06021029700048, -82.40425685299965)",
IOWA,2014,3,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"IOWA
(42.469404401000475, -93.81648936699969)",
RHODE ISLAND,2014,3,,-,0,,8,,,-,,-,,-,0,,14,,,-,,-,,-,0,,0,,,-,,-,"RHODE ISLAND
(41.70828281900049, -71.52246918099962)",
WYOMING,2014,3,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"WYOMING
(43.23554147100049, -108.10982744299969)",
COLORADO,2014,3,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"COLORADO
(38.84384047000049, -106.13360888799969)",
SOUTH CAROLINA,2014,3,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"SOUTH CAROLINA
(33.99882060100049, -81.04536765699964)",
FLORIDA,2014,3,,-,0,,3,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"FLORIDA
(28.932042899000464, -81.92895558499964)",
VIRGIN ISL.,2014,3,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISL.
(39.52368635500045, -99.11415045099966)",
DIST. OF COL.,2014,3,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"DIST. OF COL.
(39.52368635500045, -99.11415045099966)",
VIRGINIA,2014,3,,-,0,,3,,,-,,-,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,"VIRGINIA
(37.54268075100049, -78.45788924199968)",
PENNSYLVANIA,2014,3,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"PENNSYLVANIA
(40.79373106100047, -77.86069775999965)",
CALIFORNIA,2014,3,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,"CALIFORNIA
(37.638640488000476, -120.99999889499969)",
UNITED STATES,2014,4,1,,13,,92,,2,,9,,1,,25,,93,,6,,8,,,-,2,,22,,1,,,-,,
NEW ENGLAND,2014,4,,-,0,,8,,,-,1,,,-,4,,21,,1,,,-,,-,0,,1,,,-,,-,,
MID. ATLANTIC,2014,4,1,,2,,10,,1,,,-,1,,7,,31,,3,,2,,,-,0,,3,,,-,,-,,
E.N. CENTRAL,2014,4,,-,1,,8,,,-,1,,,-,10,,45,,1,,5,,,-,1,,17,,,-,,-,,
W.N. CENTRAL,2014,4,,-,2,,45,,,-,1,,,-,0,,4,,,-,,-,,-,0,,2,,,-,,-,,
S. ATLANTIC,2014,4,,-,1,,22,,1,,4,,,-,0,,3,,1,,1,,,-,0,,2,,,-,,-,,
E.S. CENTRAL,2014,4,,-,1,,14,,,-,2,,,-,0,,1,,,-,,-,,-,0,,3,,,-,,-,,
W.S. CENTRAL,2014,4,,-,2,,37,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,
MOUNTAIN,2014,4,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,
PACIFIC,2014,4,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,1,,1,,,-,,
ALASKA,2014,4,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"ALASKA
(64.84507923900048, -147.72205669099972)",
OKLAHOMA,2014,4,,-,0,,34,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"OKLAHOMA
(35.472034350000456, -97.52106845499969)",
FLORIDA,2014,4,,-,0,,3,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"FLORIDA
(28.932042899000464, -81.92895558499964)",
NORTH CAROLINA,2014,4,,-,0,,12,,,-,,-,,-,0,,3,,,-,,-,,-,0,,0,,,-,,-,"NORTH CAROLINA
(35.46622388600048, -79.15924924699965)",
NEW YORK,2014,4,1,,1,,9,,1,,,-,1,,7,,28,,3,,1,,,-,0,,3,,,-,,-,"NEW YORK
(42.82700023900048, -75.54396639699968)",
GUAM,2014,4,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"GUAM
(13.355173397000442, 144.70297250000056)",
OHIO,2014,4,,-,0,,1,,,-,1,,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"OHIO
(40.06021029700048, -82.40425685299965)",
PUERTO RICO,2014,4,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"PUERTO RICO
(26.649497232000442, -98.34556876399967)",
WYOMING,2014,4,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"WYOMING
(43.23554147100049, -108.10982744299969)",
WEST VIRGINIA,2014,4,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"WEST VIRGINIA
(38.665511497000466, -80.71263935099967)",
OREGON,2014,4,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"OREGON
(44.567446178000466, -120.15502977999972)",
MARYLAND,2014,4,,-,0,,5,,1,,,-,,-,0,,1,,,-,1,,,-,0,,1,,,-,,-,"MARYLAND
(39.2905806980005, -76.60925970899967)",
SOUTH CAROLINA,2014,4,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"SOUTH CAROLINA
(33.99882060100049, -81.04536765699964)",
RHODE ISLAND,2014,4,,-,0,,8,,,-,,-,,-,0,,14,,,-,,-,,-,0,,0,,,-,,-,"RHODE ISLAND
(41.70828281900049, -71.52246918099962)",
WISCONSIN,2014,4,,-,0,,6,,,-,,-,,-,10,,43,,1,,4,,,-,0,,5,,,-,,-,"WISCONSIN
(44.3931903350005, -89.81636715299965)",
MAINE,2014,4,,-,0,,1,,,-,,-,,-,1,,8,,1,,,-,,-,0,,1,,,-,,-,"MAINE
(45.254228663000504, -68.98502952999962)",
VIRGIN ISL.,2014,4,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISL.
(39.52368635500045, -99.11415045099966)",
TEXAS,2014,4,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"TEXAS
(31.827243635000457, -99.4267664729997)",
MISSISSIPPI,2014,4,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,"MISSISSIPPI
(32.74551123200047, -89.53802764499966)",
LOUISIANA,2014,4,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"LOUISIANA
(31.312662564000448, -92.44567554599968)",
NEBRASKA,2014,4,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"NEBRASKA
(41.64104043900045, -99.36571864599966)",
NEVADA,2014,4,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"NEVADA
(39.49324126500045, -117.07183978499972)",
ILLINOIS,2014,4,,-,0,,7,,,-,,-,,-,0,,2,,,-,1,,,-,0,,0,,,-,,-,"ILLINOIS
(40.48501278700047, -88.99770813999965)",
ARKANSAS,2014,4,,-,2,,17,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"ARKANSAS
(34.748651751000466, -92.27448794899965)",
KENTUCKY,2014,4,,-,0,,7,,,-,1,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"KENTUCKY
(37.645973909000475, -84.77496612599964)",
DIST. OF COL.,2014,4,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"DIST. OF COL.
(39.52368635500045, -99.11415045099966)",
KANSAS,2014,4,,-,1,,8,,,-,1,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"KANSAS
(38.34774033400049, -98.20077655499966)",
NORTH DAKOTA,2014,4,,-,0,,0,,,-,,-,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,"NORTH DAKOTA
(47.47531738700047, -100.11842599699969)",
WASHINGTON,2014,4,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"WASHINGTON
(47.522287905000496, -120.47002746299972)",
IOWA,2014,4,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"IOWA
(42.469404401000475, -93.81648936699969)",
NEW MEXICO,2014,4,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"NEW MEXICO
(34.52088247800049, -106.24057768899968)",
MINNESOTA,2014,4,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"MINNESOTA
(46.35564867700049, -94.79419697699967)",
ALABAMA,2014,4,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"ALABAMA
(32.84057327200048, -86.63185803899967)",
GEORGIA,2014,4,,-,0,,3,,,-,4,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"GEORGIA
(32.83968004200045, -83.62757601199968)",
VIRGINIA,2014,4,,-,0,,3,,,-,,-,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,"VIRGINIA
(37.54268075100049, -78.45788924199968)",
PENNSYLVANIA,2014,4,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"PENNSYLVANIA
(40.79373106100047, -77.86069775999965)",
MISSOURI,2014,4,,-,1,,39,,,-,,-,,-,0,,2,,,-,,-,,-,0,,2,,,-,,-,"MISSOURI
(38.63579372300046, -92.56629737199967)",
MASSACHUSETTS,2014,4,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"MASSACHUSETTS
(42.27687306500047, -72.08268985899963)",
DELAWARE,2014,4,,-,0,,2,,,-,,-,,-,0,,1,,1,,,-,,-,0,,1,,,-,,-,"DELAWARE
(39.00883351400046, -75.57773943699965)",
AMER. SAMOA,2014,4,,N,,-,,-,,N,,N,,N,,-,,-,,N,,N,,N,,-,,-,,N,,N,"AMER. SAMOA
(39.52368635500045, -99.11415045099966)",
UTAH,2014,4,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"UTAH
(39.36070374600047, -111.5871285339997)",
INDIANA,2014,4,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,1,,12,,,-,,-,"INDIANA
(39.76691364600049, -86.14995579899966)",
NEW YORK CITY,2014,4,,-,0,,5,,,-,,-,,-,0,,4,,,-,1,,,-,0,,1,,,-,,-,"NEW YORK CITY
(40.71426755700048, -74.00596858999967)",
IDAHO,2014,4,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"IDAHO
(43.682630058000484, -114.3637261449997)",
CONNECTICUT,2014,4,,-,0,,0,,,-,,-,,-,0,,8,,,-,,-,,-,0,,0,,,-,,-,"CONNECTICUT
(41.56266394200048, -72.64983753699966)",
HAWAII,2014,4,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"HAWAII
(21.30485166200043, -157.85774691599974)",
CALIFORNIA,2014,4,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,1,,1,,,-,"CALIFORNIA
(37.638640488000476, -120.99999889499969)",
MICHIGAN,2014,4,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,3,,,-,,-,"MICHIGAN
(44.66131575600048, -84.71438724399968)",
C.N.M.I.,2014,4,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"C.N.M.I.
(39.52368635500045, -99.11415045099966)",
NEW JERSEY,2014,4,,-,0,,1,,,-,,-,,-,0,,4,,,-,,-,,-,0,,1,,,-,,-,"NEW JERSEY
(40.1305700530005, -74.27368565099965)",
COLORADO,2014,4,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"COLORADO
(38.84384047000049, -106.13360888799969)",
SOUTH DAKOTA,2014,4,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"SOUTH DAKOTA
(44.35313342000046, -100.37352811899967)",
TENNESSEE,2014,4,,-,1,,9,,,-,1,,,-,0,,1,,,-,,-,,-,0,,3,,,-,,-,"TENNESSEE
(35.680943063000484, -85.77448642199965)",
NEW HAMPSHIRE,2014,4,,-,0,,1,,,-,1,,,-,1,,7,,,-,,-,,-,0,,0,,,-,,-,"NEW HAMPSHIRE
(43.6559537330005, -71.50035726399966)",
ARIZONA,2014,4,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,"ARIZONA
(34.865973091000455, -111.76380949799972)",
VERMONT,2014,4,,-,0,,1,,,-,,-,,-,0,,3,,,-,,-,,-,0,,0,,,-,,-,"VERMONT
(43.62538292400046, -72.51763944499965)",
MONTANA,2014,4,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"MONTANA
(47.066526051000494, -109.42441687999968)",
UNITED STATES,2014,5,,-,14,,92,,3,,9,,,-,25,,94,,6,,13,,,-,2,,22,,,-,1,,,
NEW ENGLAND,2014,5,,-,0,,8,,,-,1,,,-,4,,23,,1,,2,,,-,0,,1,,,-,,-,,
MID. ATLANTIC,2014,5,,-,2,,10,,1,,,-,,-,7,,31,,3,,2,,,-,0,,3,,,-,,-,,
E.N. CENTRAL,2014,5,,-,1,,8,,,-,1,,,-,10,,45,,1,,7,,,-,1,,17,,,-,1,,,
W.N. CENTRAL,2014,5,,-,2,,45,,,-,1,,,-,0,,4,,,-,,-,,-,0,,2,,,-,,-,,
S. ATLANTIC,2014,5,,-,1,,22,,1,,4,,,-,0,,3,,1,,1,,,-,0,,2,,,-,,-,,
E.S. CENTRAL,2014,5,,-,1,,14,,1,,2,,,-,0,,1,,,-,1,,,-,0,,3,,,-,,-,,
W.S. CENTRAL,2014,5,,-,2,,37,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,
MOUNTAIN,2014,5,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,
PACIFIC,2014,5,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,
WEST VIRGINIA,2014,5,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"WEST VIRGINIA
(38.665511497000466, -80.71263935099967)",
VIRGIN ISL.,2014,5,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISL.
(39.52368635500045, -99.11415045099966)",
MISSOURI,2014,5,,-,1,,39,,,-,,-,,-,0,,2,,,-,,-,,-,0,,2,,,-,,-,"MISSOURI
(38.63579372300046, -92.56629737199967)",
WYOMING,2014,5,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"WYOMING
(43.23554147100049, -108.10982744299969)",
INDIANA,2014,5,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,1,,12,,,-,1,,"INDIANA
(39.76691364600049, -86.14995579899966)",
LOUISIANA,2014,5,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"LOUISIANA
(31.312662564000448, -92.44567554599968)",
CALIFORNIA,2014,5,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,"CALIFORNIA
(37.638640488000476, -120.99999889499969)",
FLORIDA,2014,5,,-,0,,3,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"FLORIDA
(28.932042899000464, -81.92895558499964)",
OREGON,2014,5,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"OREGON
(44.567446178000466, -120.15502977999972)",
HAWAII,2014,5,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"HAWAII
(21.30485166200043, -157.85774691599974)",
GUAM,2014,5,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"GUAM
(13.355173397000442, 144.70297250000056)",
CONNECTICUT,2014,5,,-,0,,0,,,-,,-,,-,0,,10,,,-,1,,,-,0,,0,,,-,,-,"CONNECTICUT
(41.56266394200048, -72.64983753699966)",
PENNSYLVANIA,2014,5,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"PENNSYLVANIA
(40.79373106100047, -77.86069775999965)",
